REFERENCIA,EQUIPAMENTOS,MATERIAL EM CARGA,QUANT MATERIAL REPOSTO,CONDIÇÕES EQUIPAMENTO
,,,,
,SACO DE ABORDAGEM,,,
,,,,
401020,ESFIGNOMANOMETRO ANEROIDE MANUAL,1,,
401021,ESTECOSPCÓPIO,1,,
401027,OXIMETRO,1,,
401022,ESFIGNOMANOMETRO DIGITAL,1,,
401026,MONITOR PARAMETROS VITAIS HE 6000,1,,
401050,MONITOR PARAMETROS VITAIS HE 50,1,,
401024,TERMOMETRO DIGITAL,1,,
401023,TERMOMETRO DIGITAL INFRAVERMELHOS,1,,
404024,LANTERNA OBSERVAÇÃO,1,,
401025,GLICOMETRO,1,,
404011,PALHETAS DX,10,,
404001,LANCETAS DX,10,,
403001,COMPRESSAS 5X5,10,,
403017,TUBO OROFARINGEO PEDIATRICO TAMANHO 000,1,,
405018,TUBO OROFARINGEO PEDIATRICO TAMANHO 00,1,,
405019,TUBO OROFARINGEO PEDIATRICO TAMANHO 0,1,,
405020,TUBO OROFARINGEO PEDIATRICO TAMANHO 1,1,,
405012,TUBO OROFARINGEO ADULTO TAMANHO 1.5,1,,
405013,TUBO OROFARINGEO ADULTO TAMANHO 2,1,,
405014,TUBO OROFARINGEO ADULTO TAMANHO 3,1,,
405015,TUBO OROFARINGEO ADULTO TAMANHO 4,1,,
405016,TUBO OROFARINGEO ADULTO TAMANHO 5,1,,
,tubos nasofaringeos descartaveis(tamanhos variados),1 cada,,
405007,POCKET MASK,1,,
405021,INSUFLADOR MANUAL ADULTO C/ BALONETE,1,,
405028,FILTRO INSUFLADOR ADULTO,1,,
405024,MASCARA INSUFLADOR ADULTO TAMANHO 4,1,,
405025,MASCARA INSUFLADOR ADULTO TAMANHO 5,1,,
,tubo conexao,1,,
405001,MASCARAS SIMPLES O2 ADULTO,1,,
405002,MASCARAS ALTO DEBITO O2 ADULTO,1,,
405003,CANULAS 02 ADULTO,1,,
405022,INSUFLADOR MANUAL PEDIATRICO C/ BALONETE,1,,
405028,FILTRO INSUFLADOR PEDIATRICO,1,,
405027,MASCARA INSUFLADOR PEDIATRICO TAMANHO 2,1,,
405023,MASCARA INSUFLADOR PEDIATRICO TAMANHO 3,1,,
,tubo conexao,1,,
405004,MASCARAS SIMPLES 02 PEDIATRICO,1,,
405005,MASCARA ALTO DEBITO 02 PEDIATRICO,1,,
405006,CANULA NASAL PEDIATRICO,1,,
405009,SACOS VOMITO,5,,
404025,CONTENTOR CORTANTES,1,,
,garrafa agua 250ml,1,,
,copos plastico,5,,
,pacotes açucar,5,,
404019,COBERTURA ISOTERMICA PRATA/ DOURADO,1,,
401037,TESOURA,1,,
,,,,
,TRANSPORTE E MOBILIZAÇÃO,,,
,,1,,
